Edad;lx
0;100000
1;97957,83
2;97826,26
3;97706,55
4;97596,74
5;97495,03
6;97399,78
7;97309,5
8;97222,86
9;97138,66
10;97055,88
11;96973,63
12;96891,16
13;96807,88
14;96723,36
15;96637,3
16;96549,54
17;96459,92
18;96368,27
19;96274,36
20;96178,01
21;96078,95
22;95976,93
23;95871,68
24;95762,86
25;95650,15
26;95533,17
27;95411,51
28;95284,73
29;95152,33
30;95013,79
31;94868,53
32;94715,89
33;94555,2
34;94385,7
35;94206,55
36;94016,86
37;93815,64
38;93601,83
39;93374,25
40;93131,64
41;92872,62
42;92595,7
43;92299,23
44;91981,47
45;91640,5
46;91274,25
47;90880,48
48;90456,78
49;90000,55
50;89509
51;88979,11
52;88407,68
53;87791,26
54;87126,2
55;86408,6
56;85634,33
57;84799,07
58;83898,25
59;82927,11
60;81880,73
61;80754,01
62;79541,78
63;78238,78
64;76839,78
65;75339,63
66;73733,37
67;72016,33
68;70184,31
69;68233,66
70;66161,54
71;63966,08
72;61646,62
73;59203,93
74;56640,51
75;53960,8
76;51171,51
77;48282,81
78;45303,6
79;42251,62
80;39143,64
81;36000,37
82;32845,41
83;29704,95
84;26607,34
85;23582,45
86;20660,9
87;17872,99
88;15247,58
89;12810,83
90;10584,91
91;8586,75
92;6827,07
93;5309,58
94;4030,72
95;2979,81
96;2139,77
97;1488,32
98;999,65
99;646,17
100;400,49
101;237,05
102;133,39
103;71,01
104;35,58
105;16,68
106;7,27
107;2,92
108;1,08
109;0,36
110;0,11
